Fecha,Año,Mes,CCAA,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Consumo per capita,Variación consumo 2020 respecto a 2019 (%),Variación consumo 2019 respecto a 2018 (%),Variación precio 2020 respecto a 2019 (%),Variación precio 2019 respecto a 2018 (%)
04-2020,2020,4,Cataluña,MANDARINAS,4597.72,9869.81,2.15,47.85,0.67,25.935259089639157,-2.4110813512747677,57.08278756491527,-6.942173485467844
04-2020,2020,4,Cataluña,LIMONES,2729.86,5358.7,1.96,52.48,0.4,85.31522174476783,9.68733944407627,155.67414631353446,-1.9874579711093756
04-2020,2020,4,Cataluña,PLATANOS,11370.51,19430.09,1.71,88.55,1.65,33.67288878021026,0.5601240832076171,40.00600949413605,-0.8933710582055064
04-2020,2020,4,Cataluña,MANZANAS,10026.43,15644.12,1.56,79.99,1.45,39.28827936479712,7.656287389327596,49.8665542644199,-0.8667641028416854
04-2020,2020,4,Cataluña,PERAS,4686.49,8693.18,1.85,59.33,0.68,49.53796769602869,-16.991217010817167,78.36444849327943,-17.397052019300688
04-2020,2020,4,Cataluña,MELOCOTONES,172.18,407.87,2.37,5.71,0.02,263.709336713139,-29.18474195961106,254.238318568699,16.644716847330574
04-2020,2020,4,Cataluña,NECTARINAS,150.39,344.27,2.29,3.22,0.02,207.04369130257248,-22.683504340962912,190.5722484807562,-9.729523809523807
04-2020,2020,4,Cataluña,ALBARICOQUES,131.18,402.52,3.07,8.13,0.02,176.98479729729732,9.325946445060017,204.2249263094248,-8.454992043174427
04-2020,2020,4,Cataluña,FRESAS/FRESON,5686.79,15600.16,2.74,68.38,0.82,-11.369774839432639,13.49390813380881,15.812299882481422,-3.803247500316018
04-2020,2020,4,Cataluña,MELON,1907.31,3963.8,2.08,12.65,0.28,58.789003962835906,-30.518582791033978,52.479650402375796,-24.478376823720126
04-2020,2020,4,Cataluña,SANDIA,1447.76,1809.64,1.25,11.24,0.21,-8.537494472171336,21.139997091844155,-25.44822358447037,-2.0182775212322794
04-2020,2020,4,Cataluña,CIRUELAS,373.21,1167.81,3.13,13.95,0.05,60.0042872454448,-18.25254967931868,69.55991462547006,-24.453195270166507
04-2020,2020,4,Cataluña,CEREZAS,12.31,52.36,4.25,1.33,0.0,-79.25164335075003,446.31675874769803,-63.94684293878675,587.3166114529106
04-2020,2020,4,Cataluña,UVAS,683.18,3047.75,4.46,16.34,0.1,21.07753655294638,51.56602557215001,27.42282092447655,51.377488054175515
04-2020,2020,4,Cataluña,KIWI,2675.07,7962.48,2.98,48.34,0.39,77.68294221968345,1.0266871556739534,105.46055534482626,-11.693854346344992
04-2020,2020,4,Cataluña,AGUACATE,1153.72,5376.53,4.66,36.39,0.17,37.27571272190757,-9.209346541498773,74.98535423230139,5.443127026887906
04-2020,2020,4,Cataluña,PIÑA,1696.19,2953.2,1.74,24.35,0.25,36.00965432078968,-9.371616269521175,35.20368454304888,-14.15557057741585
04-2020,2020,4,Cataluña,OTRAS FRUTAS FRESCAS,2129.55,7597.23,3.57,38.96,0.31,50.259304992062106,6.3275089841024466,60.49378282343895,7.479366520974056
04-2020,2020,4,Cataluña,POMELO,290.13,536.03,1.85,2.71,0.04,42.01174743024963,-7.1152534666969665,56.82104092917116,-7.131989349562572
04-2020,2020,4,Cataluña,FRUTAS IV GAMA,2900.14,5976.26,2.06,32.74,0.42,-0.07373513237869286,-17.36528310052445,21.375693828103255,-24.3225754888369
04-2020,2020,4,Extremadura,T.FRUTAS FRESCAS,9514.63,15384.27,1.62,97.4,8.49,39.252209242081406,-4.775801564803902,58.450438759115066,-6.64356441355596
04-2020,2020,4,Extremadura,NARANJAS,3016.24,3097.83,1.03,72.87,2.69,48.04649153806887,-18.980052810740304,86.21914711999712,-24.639059902239254
04-2020,2020,4,Extremadura,MANDARINAS,463.21,867.11,1.87,39.76,0.41,19.918709710824032,29.590364679437712,49.96454575327303,20.997342373448852
04-2020,2020,4,Extremadura,LIMONES,158.9,302.17,1.9,33.77,0.14,12.519473162441585,-26.428757488929406,72.73766649516949,-47.322934232715
04-2020,2020,4,Extremadura,PLATANOS,1728.17,2779.62,1.61,90.94,1.54,51.984486443226906,-3.219848497744502,68.99543406757094,-0.06197556218518431
04-2020,2020,4,Extremadura,MANZANAS,1301.7,1808.17,1.39,79.7,1.16,45.38448651365388,-0.5730086284438783,55.9264593016738,-7.78436923468413
04-2020,2020,4,Extremadura,PERAS,708.58,1108.42,1.56,58.83,0.63,32.06717238551434,-0.3898780238753918,51.42970340314494,-10.23729229259918
04-2020,2020,4,Extremadura,ALBARICOQUES,19.36,48.38,2.5,6.41,0.02,404.1666666666667,21.904761904761905,1159.8958333333335,27.999999999999996
04-2020,2020,4,Extremadura,FRESAS/FRESON,700.33,1776.83,2.54,66.24,0.62,-25.287773237888985,20.846493998736584,-6.308068717505252,10.70469563593061
04-2020,2020,4,Extremadura,MELON,133.46,266.99,2.0,13.23,0.12,254.66383204889715,-59.92118436468207,301.73036412879935,-55.16427173986372
04-2020,2020,4,Extremadura,SANDIA,210.75,312.32,1.48,10.94,0.19,134.50539668409925,46.82241463813103,71.87826756920367,69.99719337636824
04-2020,2020,4,Extremadura,CIRUELAS,32.22,108.22,3.36,10.13,0.03,129.97858672376873,-34.71575023299162,170.41479260369812,-31.36683244726462
04-2020,2020,4,Extremadura,UVAS,57.46,233.85,4.07,12.23,0.05,-5.21280105575717,101.59627535749915,8.128727978915236,123.16582396037563
04-2020,2020,4,Extremadura,KIWI,458.75,1334.51,2.91,54.56,0.41,122.30567939523162,-15.915573302909289,159.71819473366676,-22.37983020635064
04-2020,2020,4,Extremadura,AGUACATE,104.18,415.68,3.99,29.75,0.09,18.52104664391354,33.76959366915236,72.39548772395487,-10.397621701969534
04-2020,2020,4,Extremadura,PIÑA,143.23,205.31,1.43,18.7,0.13,29.819632013051745,6.629941045713733,17.764139038660087,-15.30314807617567
04-2020,2020,4,Extremadura,OTRAS FRUTAS FRESCAS,202.25,547.75,2.71,27.65,0.18,46.97333042656782,-11.31090487238978,37.62217029722872,0.15853842669485013
04-2020,2020,4,Extremadura,POMELO,11.32,20.43,1.8,2.79,0.01,360.1626016260162,-87.24066390041494,205.3811659192825,-74.84016547574277
04-2020,2020,4,Extremadura,FRUTAS IV GAMA,422.89,797.64,1.89,35.2,0.38,-29.013143538180053,104.66194860519447,-12.373251892295691,72.05420935243642
04-2020,2020,4,Galicia,T.FRUTAS FRESCAS,28811.96,53152.71,1.84,98.94,11.1,25.71129383070488,-4.3366090494579606,47.68797442169143,-6.5347726181992725
04-2020,2020,4,Galicia,NARANJAS,7628.6,9085.86,1.19,72.21,2.94,25.18563858853956,-15.05365402147276,70.37116208948845,-22.93648775186988
04-2020,2020,4,Galicia,MANDARINAS,2003.83,4339.59,2.17,51.11,0.77,38.399430884201514,-1.2737463690046003,83.82173537335433,-11.947424172348446
04-2020,2020,4,Galicia,LIMONES,739.67,1322.39,1.79,46.92,0.28,34.439011977680416,-6.213350606845754,75.1324362981406,-24.91024990801237
04-2020,2020,4,Galicia,PLATANOS,4718.88,8236.45,1.75,91.93,1.82,21.5974272947943,-0.6426274501771798,37.11602618313546,1.1192792440951207
04-2020,2020,4,Galicia,MANZANAS,4518.73,7345.88,1.63,82.88,1.74,18.74863676618601,7.349116165178085,40.63083897448463,-4.374219673919802
04-2020,2020,4,Galicia,PERAS,1700.4,3120.51,1.84,54.41,0.65,23.20489225730723,-8.014582875119135,54.23788293676293,-21.818231000197073
04-2020,2020,4,Galicia,MELOCOTONES,131.02,302.55,2.31,9.55,0.05,347.7785372522215,178.93231649189707,131.62609095084977,462.2901420576841
04-2020,2020,4,Galicia,NECTARINAS,220.44,503.13,2.28,13.88,0.08,64.04226819467182,3.083768027002134,40.83809203896539,18.103676276117426
04-2020,2020,4,Galicia,ALBARICOQUES,42.21,132.4,3.14,5.02,0.02,185.0101282916948,-9.029484029484033,353.7354352296093,-4.76501305483029
04-2020,2020,4,Galicia,FRESAS/FRESON,2217.2,5601.91,2.53,74.06,0.85,1.2138171559519808,5.523762729173294,21.718734382944323,-7.7041858935407745
04-2020,2020,4,Galicia,MELON,775.74,1438.9,1.85,11.19,0.3,124.91736735285592,-14.370127613089032,127.1528928881522,35.21099703302099
04-2020,2020,4,Galicia,SANDIA,472.15,634.48,1.34,5.62,0.18,84.94653139566766,-18.59894139404375,65.30234739337729,-22.441350603164338
04-2020,2020,4,Galicia,CIRUELAS,138.89,440.02,3.17,11.31,0.05,14.927596193628458,-0.7229113612092415,65.52684046194936,-22.842713261544713
04-2020,2020,4,Galicia,CEREZAS,1.43,6.99,4.89,0.43,0.0,-52.33333333333333,1566.6666666666665,-46.31336405529954,91.47058823529412
04-2020,2020,4,Galicia,UVAS,375.62,1402.3,3.73,18.35,0.14,67.94992175273865,6.469580119965726,83.61681790208324,5.287029888607039
04-2020,2020,4,Galicia,KIWI,1126.57,3341.1,2.97,49.36,0.43,18.226657851378434,15.20159584114127,35.117865678824614,16.327634711101503
04-2020,2020,4,Galicia,AGUACATE,350.78,1943.69,5.54,25.7,0.14,-6.458666666666674,15.327838602534127,35.49976994827322,53.123398804440654
04-2020,2020,4,Galicia,PIÑA,811.46,1216.61,1.5,17.6,0.31,53.493738886997335,-2.678522118517713,26.668193696835914,-0.9692020580077719
04-2020,2020,4,Galicia,OTRAS FRUTAS FRESCAS,838.34,2737.93,3.27,33.35,0.32,42.6233412725417,-26.819551305993382,22.198468240082832,-10.137487366242608
04-2020,2020,4,Galicia,POMELO,201.04,377.1,1.88,5.22,0.08,130.3391384051329,-39.422543031649084,140.78922163335673,-50.560343466868694
04-2020,2020,4,Galicia,FRUTAS IV GAMA,840.89,1541.58,1.83,28.17,0.32,-31.363202272411918,12.052865047788924,-22.57179881264503,-0.15596086435416154
04-2020,2020,4,La Rioja,T.FRUTAS FRESCAS,2825.64,4930.24,1.74,98.51,9.21,27.127039758130906,27.460245551458577,44.025987683894414,17.52007497862903
04-2020,2020,4,La Rioja,NARANJAS,747.91,937.56,1.25,65.76,2.44,9.718921456444562,22.658077518263926,49.11491053677931,8.267038605916587
04-2020,2020,4,La Rioja,MANDARINAS,310.64,604.67,1.95,52.47,1.01,77.05329153605017,65.08280015054572,111.83786434977576,46.25198544858329
04-2020,2020,4,La Rioja,LIMONES,180.95,389.54,2.15,62.53,0.59,165.40041067761803,7.049772334746443,274.9181905678537,11.492649425904075
04-2020,2020,4,La Rioja,PLATANOS,413.92,743.79,1.8,73.73,1.35,27.01607953848043,16.706657594098047,36.287677508016486,18.987921336065924
04-2020,2020,4,La Rioja,MANZANAS,435.91,623.74,1.43,84.57,1.42,33.82556104749332,53.27028044419349,21.350194552529185,64.20675995144082
04-2020,2020,4,La Rioja,PERAS,136.02,229.07,1.68,31.88,0.44,24.480644275647492,38.36900088641256,43.89722972548527,25.73256456835953
04-2020,2020,4,La Rioja,NECTARINAS,6.71,17.04,2.54,7.93,0.02,136.26760563380282,-19.088319088319086,277.8270509977827,-57.45283018867925
04-2020,2020,4,La Rioja,FRESAS/FRESON,237.64,555.47,2.34,66.45,0.77,-15.604801477377656,33.907171390526905,10.556694464900588,6.136718915036548
04-2020,2020,4,La Rioja,MELON,36.93,67.92,1.84,9.99,0.12,114.21113689095131,0.8187134502923802,94.44603492699686,-2.4846454494695713
04-2020,2020,4,La Rioja,SANDIA,20.41,38.13,1.87,6.98,0.07,-44.86763911399244,87.91878172588835,-38.29098559637481,72.79082774049218
04-2020,2020,4,La Rioja,CIRUELAS,3.11,10.25,3.29,1.56,0.01,123.74100719424462,-84.69162995594715,146.39423076923077,-83.05498981670061
04-2020,2020,4,La Rioja,UVAS,1.43,7.4,5.18,2.19,0.0,-9.493670886075957,-75.15723270440252,-4.5161290322580605,-54.41176470588235
04-2020,2020,4,La Rioja,KIWI,109.96,340.34,3.1,40.1,0.36,49.442783365044846,3.7507050197405483,40.24229437942969,27.09751754477847
04-2020,2020,4,La Rioja,AGUACATE,23.37,101.65,4.35,28.23,0.08,10.33994334277621,-42.57049891540131,16.584470696180766,-42.18936480572868
04-2020,2020,4,La Rioja,PIÑA,77.42,121.86,1.57,18.57,0.25,11.347619732489573,87.61467889908256,-6.254327255942773,89.32420623361493
04-2020,2020,4,La Rioja,OTRAS FRUTAS FRESCAS,75.77,125.86,1.66,17.35,0.25,183.2523364485981,-26.73240208162147,19.821020563594814,-23.834384743673404
04-2020,2020,4,La Rioja,FRUTAS IV GAMA,81.17,141.97,1.75,24.93,0.26,-15.46552801499687,1.6514926953207731,44.79347271800102,-32.42125577227928
04-2020,2020,4,Madrid,T.FRUTAS FRESCAS,64824.7,117787.65,1.82,98.36,10.65,44.613127698053965,-5.88319648209596,71.2808028764232,-11.455068256942342
04-2020,2020,4,Madrid,NARANJAS,18209.14,20921.09,1.15,70.05,2.99,47.77123510450784,-14.812653817437713,85.98938173309601,-19.746895228636877
04-2020,2020,4,Madrid,MANDARINAS,4997.56,10978.01,2.2,54.67,0.82,52.06421460042356,-4.303389075407582,98.28644399650318,-10.070755176693025
04-2020,2020,4,Madrid,LIMONES,2522.83,4642.49,1.84,63.63,0.41,130.66717868539192,-14.162945289874978,216.46580048807752,-25.292823531808278
04-2020,2020,4,Madrid,PLATANOS,10242.13,17072.69,1.67,89.45,1.68,51.147686622669795,5.201515245606409,61.58735747391771,2.4905760675768223
04-2020,2020,4,Madrid,MANZANAS,8102.24,13783.97,1.7,80.88,1.33,48.25745016450198,-8.386251014208987,75.08834460875595,-17.58600907827077
04-2020,2020,4,Madrid,PERAS,4299.58,7971.26,1.85,64.66,0.71,38.9704836645248,-16.05127203264739,76.8377010739473,-20.891978406913157
04-2020,2020,4,Madrid,MELOCOTONES,245.35,461.37,1.88,6.66,0.04,677.1618625277162,105.93607305936075,336.53136531365317,229.56033676333024
04-2020,2020,4,Madrid,NECTARINAS,153.54,293.8,1.91,6.2,0.03,119.15500999143589,-19.01514275806265,134.514687100894,-16.69104934166777
04-2020,2020,4,Madrid,ALBARICOQUES,118.11,392.29,3.32,7.64,0.02,143.02469135802468,57.38341968911919,314.37625435724095,1.2080393414581947
04-2020,2020,4,Madrid,FRESAS/FRESON,5409.52,13113.94,2.42,75.76,0.89,-4.25153812932322,5.258529623826496,20.53962733101947,-10.068163745087759
04-2020,2020,4,Madrid,MELON,1534.77,2802.89,1.83,16.4,0.25,91.14855776416081,-17.075991985623702,105.5432112345543,-22.545851106731256
04-2020,2020,4,Madrid,SANDIA,926.26,1213.86,1.31,9.36,0.15,-7.778850844791366,21.967479872251026,-16.058585970347426,6.062695280984571
04-2020,2020,4,Madrid,CIRUELAS,264.14,820.41,3.11,11.28,0.04,4.7758825862752845,10.52654653864702,37.553442985765315,-14.714083479902204
04-2020,2020,4,Madrid,UVAS,581.94,2429.92,4.18,18.22,0.1,66.97463560197409,4.163304342628294,87.28284494319671,8.857360998078676
04-2020,2020,4,Madrid,KIWI,2340.67,6738.03,2.88,46.18,0.38,44.246282407607126,-9.083319793143243,72.78905110050594,-22.941470557431725
04-2020,2020,4,Madrid,AGUACATE,1150.38,5119.98,4.45,38.15,0.19,99.72568491961528,-17.29059865879751,125.50706253881422,-9.80120295255727
04-2020,2020,4,Madrid,PIÑA,2000.83,3141.41,1.57,28.27,0.33,79.45307454975962,23.801909837885855,74.69844677147574,24.99930486041598
04-2020,2020,4,Madrid,OTRAS FRUTAS FRESCAS,1704.93,5826.96,3.42,38.92,0.28,35.17029778327468,11.975994744411485,58.6858423588171,3.010351502230213
04-2020,2020,4,Madrid,POMELO,162.14,295.03,1.82,2.88,0.03,111.94771241830064,-63.31639014098015,141.17550886945148,-70.25410334346505
04-2020,2020,4,Madrid,FRUTAS IV GAMA,2268.3,4858.75,2.14,33.67,0.37,-12.938512320564977,28.81630796461928,10.277011768177129,26.291304547226492
04-2020,2020,4,Murcia,T.FRUTAS FRESCAS,13157.22,22261.14,1.69,97.64,9.48,45.49312797806967,2.20464912320357,63.8483398508659,-3.4803105639040837
04-2020,2020,4,Murcia,NARANJAS,4360.89,5182.61,1.19,60.14,3.14,113.1568142492644,-0.2330979596613727,208.0303120356612,-6.086907984705978
04-2020,2020,4,Murcia,MANDARINAS,364.32,773.5,2.12,27.11,0.26,0.8861320336730141,-9.133913743646522,31.353269821862213,-15.163084192934939
04-2020,2020,4,Murcia,LIMONES,672.24,1074.0,1.6,40.67,0.48,201.8725582648525,-15.423471325484241,262.27484314916006,-27.107767205133882
04-2020,2020,4,Murcia,PLATANOS,2208.32,3532.51,1.6,86.38,1.59,39.48546921089699,8.126622046168556,56.346568351914904,3.8307943291744064
04-2020,2020,4,Murcia,MANZANAS,1717.17,2830.56,1.65,75.98,1.24,19.736007196000358,5.886739515652688,38.63197797999784,0.024004428572128856
04-2020,2020,4,Murcia,PERAS,838.19,1492.47,1.78,59.39,0.6,22.954042041337228,3.2659244111186947,40.551103242393154,-4.781248038450862
04-2020,2020,4,Murcia,MELOCOTONES,6.97,10.03,1.44,1.01,0.01,81.03896103896103,-90.65533980582524,136.55660377358487,-91.72844323058915
04-2020,2020,4,Murcia,ALBARICOQUES,15.11,46.23,3.06,3.97,0.01,139.4611727416799,-43.861209964412815,93.26923076923073,5.607064017660059
04-2020,2020,4,Murcia,FRESAS/FRESON,1015.34,2332.8,2.3,71.53,0.73,-2.115147308344896,-11.719348414441102,10.714556913964625,-21.185597474396094
04-2020,2020,4,Murcia,MELON,149.83,289.62,1.93,11.38,0.11,26.588374450827995,-61.89924352164815,17.4166869374848,-52.29751682524949
04-2020,2020,4,Murcia,SANDIA,274.56,327.35,1.19,10.23,0.2,-32.2174492667753,77.44775923248784,-49.232320099255574,57.17245581962217
04-2020,2020,4,Murcia,CIRUELAS,21.08,69.5,3.3,6.57,0.02,-63.41548073585561,191.89463019250252,-53.56761090326029,123.30299865731762
04-2020,2020,4,Murcia,CEREZAS,2.46,6.79,2.76,0.21,0.0,-82.5284090909091,94.20689655172414,-75.23705324580598,-5.4808686659772485
04-2020,2020,4,Murcia,UVAS,80.03,327.39,4.09,14.18,0.06,6.211015262110163,122.92899408284023,20.942002216475803,91.05088573646692
04-2020,2020,4,Murcia,KIWI,382.51,1225.22,3.2,43.23,0.28,53.760501668207574,27.124533701262205,106.43628582500718,6.777130109383987
04-2020,2020,4,Murcia,AGUACATE,182.79,868.59,4.75,36.37,0.13,65.96150354094787,1.9342896807033814,124.30275797954758,-9.277481023334264
04-2020,2020,4,Murcia,PIÑA,283.38,495.38,1.75,17.44,0.2,-33.699873660568066,47.117337280143204,-20.922659430122124,33.03531610354861
04-2020,2020,4,Murcia,OTRAS FRUTAS FRESCAS,572.03,1347.37,2.36,36.62,0.41,176.1695553517115,-12.455621301775148,135.20878430277213,17.999423227454383
04-2020,2020,4,Murcia,POMELO,242.41,435.65,1.8,2.02,0.17,501.36442570081863,-4.183503684335626,530.1894980471576,58.01142857142856
04-2020,2020,4,Murcia,FRUTAS IV GAMA,667.91,1197.18,1.79,44.84,0.48,25.920968289280193,1.8080614203454817,14.019314653612454,7.677003855935681
04-2020,2020,4,Navarra,T.FRUTAS FRESCAS,6285.4,11108.73,1.77,96.87,10.94,50.656037123503694,-12.235624760710682,72.47331093459857,-16.347295278914213
04-2020,2020,4,Navarra,NARANJAS,2019.55,2344.97,1.16,59.93,3.52,83.88632928450458,-25.507352542188936,126.11273961507308,-35.87584245347184
04-2020,2020,4,Navarra,MANDARINAS,268.14,508.95,1.9,44.9,0.47,-19.45812807881774,-2.7431275744208428,-9.907597535934286,5.0076211011561655
04-2020,2020,4,Navarra,LIMONES,175.63,366.67,2.09,40.68,0.31,53.25479930191972,-14.208713879323264,138.50006504488098,-24.266009852216744
04-2020,2020,4,Navarra,PLATANOS,1065.31,1998.37,1.88,86.35,1.85,69.39797735657041,-12.441523724660282,86.21881785058657,-6.339023879346451
04-2020,2020,4,Navarra,MANZANAS,1045.78,1463.52,1.4,68.88,1.82,35.256990610207204,2.1900318526056934,39.18799395132528,-5.618189325530036
04-2020,2020,4,Navarra,PERAS,354.78,623.21,1.76,38.97,0.62,174.6187785432309,-23.596901058607845,221.67337669040984,-27.84357541899441
04-2020,2020,4,Navarra,MELOCOTONES,7.91,19.86,2.51,2.58,0.01,188.6861313868613,448.00000000000006,81.53564899451554,2088.0
04-2020,2020,4,Navarra,NECTARINAS,12.14,39.65,3.27,4.84,0.02,446.8468468468468,-96.54689687354177,349.0373725934315,-94.28034719523254
04-2020,2020,4,Navarra,ALBARICOQUES,2.08,8.09,3.9,1.75,0.0,57.57575757575757,-23.699421965317917,373.09941520467834,-70.61855670103093
04-2020,2020,4,Navarra,FRESAS/FRESON,550.68,1339.78,2.43,68.33,0.96,-5.7458279845956435,6.566347469220246,12.757111597374173,-3.6787237147165066
04-2020,2020,4,Navarra,MELON,50.68,61.52,1.21,6.26,0.09,84.35794834485269,-42.21147782215682,-4.189378601463932,-18.53590459274296
04-2020,2020,4,Navarra,SANDIA,53.35,82.84,1.55,8.14,0.09,2.1834897529208974,39.973190348525485,15.456445993031364,1.184600197433371
04-2020,2020,4,Navarra,CIRUELAS,21.61,57.79,2.67,6.96,0.04,330.4780876494024,0.6012024048096064,311.31672597864764,73.67119901112486
04-2020,2020,4,Navarra,UVAS,34.8,150.31,4.32,13.41,0.06,328.04428044280434,-77.46674057649666,1022.5541448842421,-91.03868290724132
04-2020,2020,4,Navarra,KIWI,269.99,905.44,3.35,55.04,0.47,80.13744328796372,5.668358714043988,120.74211321858697,-11.283659565264413
04-2020,2020,4,Navarra,AGUACATE,107.44,543.36,5.06,44.33,0.19,24.524802967083907,38.624678663239074,83.12213534645456,17.550114887885286
04-2020,2020,4,Navarra,PIÑA,155.3,345.36,2.22,29.03,0.27,18.287759920786062,16.515796947106836,82.07507380851962,11.589598776326637
04-2020,2020,4,Navarra,OTRAS FRUTAS FRESCAS,90.23,249.06,2.76,26.93,0.16,104.32518115942031,-56.72285378283027,156.47204201421067,-57.14663960107673
04-2020,2020,4,Navarra,FRUTAS IV GAMA,311.49,576.02,1.85,43.71,0.54,24.451636102121547,-0.8556149732620307,24.523325695014915,2.4653893011407675
04-2020,2020,4,Pais Vasco,T.FRUTAS FRESCAS,23694.78,45019.19,1.9,98.1,11.7,32.7120443949574,-7.729056157570302,58.37685081209174,-12.494758987297816
04-2020,2020,4,Pais Vasco,NARANJAS,6685.33,8465.06,1.27,79.59,3.3,38.02684009497264,-15.662252001574089,73.90159273419027,-21.940843015097943
04-2020,2020,4,Pais Vasco,MANDARINAS,1530.09,3339.5,2.18,56.61,0.76,8.958263606520017,6.77712217524863,47.21635668722421,-8.325520117683203
04-2020,2020,4,Pais Vasco,LIMONES,674.08,1317.53,1.95,49.73,0.33,38.779543770073296,-14.469351458909289,92.2643629518292,-25.873482898124315
04-2020,2020,4,Pais Vasco,PLATANOS,3726.61,6739.12,1.81,85.96,1.84,42.91066669223247,-7.717978299489681,56.00392607133596,-8.723754466257173
04-2020,2020,4,Pais Vasco,MANZANAS,3421.38,5524.1,1.61,79.55,1.69,37.93439873570818,-11.070797316822203,54.75533467616548,-18.888341009950445
04-2020,2020,4,Pais Vasco,PERAS,1558.9,2867.0,1.84,63.64,0.77,50.82236842105266,-25.0433306984401,88.4721071799524,-31.637582746486785
04-2020,2020,4,Pais Vasco,MELOCOTONES,166.46,412.11,2.48,10.66,0.08,428.27673754363695,475.0,300.8852140077821,565.8031088082902
04-2020,2020,4,Pais Vasco,NECTARINAS,198.66,446.21,2.25,9.77,0.1,125.62180579216356,-0.4859855334538955,76.0683423430533,53.102156708753704
04-2020,2020,4,Pais Vasco,ALBARICOQUES,45.21,185.22,4.1,8.57,0.02,210.50824175824175,-3.5122597746852176,299.8704663212435,4.418394950405773
04-2020,2020,4,Pais Vasco,FRESAS/FRESON,2216.18,5168.15,2.33,81.26,1.09,-10.342902453233231,34.11317888340298,6.8190226591129415,4.52720862103233
04-2020,2020,4,Pais Vasco,MELON,376.24,677.26,1.8,14.4,0.19,57.38308374466662,-23.26507029594916,40.34731432360743,-18.10189742371271
04-2020,2020,4,Pais Vasco,SANDIA,293.2,514.66,1.76,14.3,0.14,93.31443264983189,-15.192350704540381,72.2365382684649,-13.882644532826102
04-2020,2020,4,Pais Vasco,CIRUELAS,114.83,385.12,3.35,11.42,0.06,265.235368956743,-64.92637215528782,385.40458784976045,-68.72684272763105
04-2020,2020,4,Pais Vasco,UVAS,201.15,834.75,4.15,11.31,0.1,91.75405147759771,6.01313794845882,108.31253743262126,0.9548283072582119
04-2020,2020,4,Pais Vasco,KIWI,1045.05,3387.51,3.24,54.85,0.52,44.78186780454691,-14.61305510208911,98.602895050039,-25.597494427456596
04-2020,2020,4,Pais Vasco,AGUACATE,325.62,1563.92,4.8,31.27,0.16,45.99829619333722,13.709595187111256,99.96675574422382,15.786278980250495
04-2020,2020,4,Pais Vasco,PIÑA,532.65,983.65,1.85,20.74,0.26,10.492252162549004,-9.685819735091892,15.767112324639868,10.864941741365586
04-2020,2020,4,Pais Vasco,OTRAS FRUTAS FRESCAS,577.71,2192.21,3.79,34.62,0.29,31.557853027577266,-16.017059363525092,61.943280957974125,3.0880180331114695
04-2020,2020,4,Pais Vasco,POMELO,128.04,259.6,2.03,7.06,0.06,-27.87697853883851,5.741854785871711,-19.388895789342936,7.2072971803322465
04-2020,2020,4,Pais Vasco,FRUTAS IV GAMA,1173.46,2639.09,2.25,34.16,0.58,-15.790455687118762,12.546036053498732,30.015962006483342,4.920320681473968
04-2020,2020,4,Valencia,T.FRUTAS FRESCAS,40903.42,70794.27,1.73,97.32,8.78,29.111314950345214,4.307969989770289,46.3319184013639,0.21032484977536395
04-2020,2020,4,Valencia,NARANJAS,10224.97,10900.23,1.07,56.2,2.2,27.207729276276083,11.88377353237986,61.36965899905549,7.255116784960068
04-2020,2020,4,Valencia,MANDARINAS,1794.68,3251.26,1.81,37.14,0.39,-9.32479133404741,82.77218579739586,20.18023745804563,59.84448764232159
04-2020,2020,4,Valencia,LIMONES,1371.01,2398.97,1.75,43.35,0.29,76.89995096900726,4.60238622253415,141.8804194394031,-1.0712789514632841
04-2020,2020,4,Valencia,PLATANOS,8324.1,12909.09,1.55,90.21,1.79,42.582346996454326,3.8078219045333004,49.80956249274689,3.871963972087036
04-2020,2020,4,Valencia,MANZANAS,5751.77,8900.81,1.55,77.06,1.23,45.15031683503128,-6.5842670671133225,52.08768338567634,-6.908360944401931
04-2020,2020,4,Valencia,PERAS,2869.13,4820.92,1.68,58.29,0.62,61.33391063777145,-18.87729733921476,87.68083217839514,-22.93836701387223
04-2020,2020,4,Valencia,MELOCOTONES,29.33,85.85,2.93,2.13,0.01,-16.22393601828049,29.714709151537605,0.964365518052444,47.340149020966905
04-2020,2020,4,Valencia,NECTARINAS,86.62,180.22,2.08,5.41,0.02,137.51028242391007,-28.40596780526109,114.77773805267549,-7.932850559578675
04-2020,2020,4,Valencia,ALBARICOQUES,38.83,128.8,3.32,3.64,0.01,1.4898065865133308,64.13556413556414,11.274298056155518,100.39819944598338
04-2020,2020,4,Valencia,FRESAS/FRESON,4036.08,10233.66,2.54,72.4,0.87,-0.6407999783363867,8.0308180014574,24.91010421320132,-0.5614704554392022
04-2020,2020,4,Valencia,MELON,846.5,1652.41,1.95,14.01,0.18,70.18496180136712,-47.99627798049077,82.097792667203,-51.77272171643893
04-2020,2020,4,Valencia,SANDIA,788.18,1105.73,1.4,10.03,0.17,-12.328005250219691,12.136558107046183,-26.45529039295501,-0.8807784604836305
04-2020,2020,4,Valencia,CIRUELAS,148.59,434.13,2.92,7.82,0.03,-20.697016598174734,6.17067089755214,-11.905438311688314,-7.8016838166510745
